_id,id,username,aula,sede,polo,inDate,date,posto,outDate
5fabf03e64f3b8af345479fb,80387,112,38,2,14,11/11/2020 15:07,11/11/2020 15:07,3,11/11/2020 19:05
5fabf04364f3b8af345479fc,81122,201,38,2,14,11/11/2020 15:08,11/11/2020 15:08,4,11/11/2020 19:05
5fabf09564f3b8af345479fd,81671,133,38,2,14,11/11/2020 15:09,11/11/2020 15:09,5,11/11/2020 19:05
5fabf12664f3b8af345479fe,80897,353,9,2,4,11/11/2020 15:11,11/11/2020 15:11,7,11/11/2020 19:05
5fabf12e64f3b8af345479ff,81506,54,9,2,4,11/11/2020 15:11,11/11/2020 15:11,8,11/11/2020 19:05
5fabf17064f3b8af34547a00,80176,33,9,2,4,11/11/2020 15:13,11/11/2020 15:13,9,11/11/2020 19:05
5fabf20b64f3b8af34547a01,82109,420,9,2,4,11/11/2020 15:15,11/11/2020 15:15,10,11/11/2020 18:50
5fabf21a64f3b8af34547a02,81430,122,9,2,4,11/11/2020 15:15,11/11/2020 15:15,11,11/11/2020 19:05
5fabf22c64f3b8af34547a03,81516,131,9,2,4,11/11/2020 15:16,11/11/2020 15:16,12,11/11/2020 19:05
5fabf22f64f3b8af34547a04,82248,124,9,2,4,11/11/2020 15:16,11/11/2020 15:16,13,11/11/2020 19:05
5fabf23364f3b8af34547a05,82198,421,9,2,4,11/11/2020 15:16,11/11/2020 15:16,14,11/11/2020 18:50
5fabf23664f3b8af34547a06,82265,109,9,2,4,11/11/2020 15:16,11/11/2020 15:16,15,11/11/2020 19:05
5fabf23c64f3b8af34547a07,81247,107,9,2,4,11/11/2020 15:16,11/11/2020 15:16,16,11/11/2020 19:05
5fabf46364f3b8af34547a08,80935,265,9,2,4,11/11/2020 15:25,11/11/2020 15:25,17,11/11/2020 19:05
5fabf49564f3b8af34547a09,81044,418,9,2,4,11/11/2020 15:26,11/11/2020 15:26,18,11/11/2020 19:05
5fabf4cc64f3b8af34547a0a,81043,121,24,2,14,11/11/2020 15:27,11/11/2020 15:27,1,11/11/2020 19:05
5fabf4d164f3b8af34547a0b,81231,95,24,2,14,11/11/2020 15:27,11/11/2020 15:27,2,11/11/2020 19:05
5fabf4ff64f3b8af34547a0c,81632,483,24,2,14,11/11/2020 15:28,11/11/2020 15:28,3,11/11/2020 19:05
5fabf50c64f3b8af34547a0d,80231,117,24,2,14,11/11/2020 15:28,11/11/2020 15:28,4,11/11/2020 19:05
5fabf52a64f3b8af34547a0e,81158,118,24,2,14,11/11/2020 15:28,11/11/2020 15:28,5,11/11/2020 19:05
5fabf55064f3b8af34547a11,81419,116,24,2,14,11/11/2020 15:29,11/11/2020 15:29,6,11/11/2020 19:05
5fabf5ec64f3b8af34547a12,80812,198,24,2,14,11/11/2020 15:32,11/11/2020 15:32,7,11/11/2020 19:05
5fabf78664f3b8af34547a13,80793,196,24,2,14,11/11/2020 15:39,11/11/2020 15:39,8,11/11/2020 19:05
5fabf7a864f3b8af34547a14,81201,195,24,2,14,11/11/2020 15:39,11/11/2020 15:39,9,11/11/2020 19:05
5fabfe8664f3b8af34547a26,81534,484,5,1,3,11/11/2020 16:08,11/11/2020 16:08,7,11/11/2020 17:57
5fabff2564f3b8af34547a27,80708,144,2,1,5,11/11/2020 16:11,11/11/2020 16:11,1,11/11/2020 18:41
5fac00da64f3b8af34547a28,80995,98,2,1,5,11/11/2020 16:18,11/11/2020 16:18,2,11/11/2020 16:20
5fac00dd64f3b8af34547a29,80996,97,2,1,5,11/11/2020 16:18,11/11/2020 16:18,3,11/11/2020 16:20
5face01264f3b8af34547aea,81974,5,1,1,1,11/12/2020 8:11,11/12/2020 8:11,1,11/12/2020 13:05
5face35d64f3b8af34547aef,80796,424,11,1,6,11/12/2020 8:25,11/12/2020 8:25,1,11/12/2020 13:05
5face37c64f3b8af34547af2,80741,485,11,1,6,11/12/2020 8:25,11/12/2020 8:25,2,11/12/2020 13:05
5face3d764f3b8af34547af4,80924,296,1,1,1,11/12/2020 8:27,11/12/2020 8:27,2,11/12/2020 13:05
5face51164f3b8af34547af5,80988,267,1,1,1,11/12/2020 8:32,11/12/2020 8:32,3,11/12/2020 13:05
5face56864f3b8af34547af6,80436,6,1,1,1,11/12/2020 8:34,11/12/2020 8:34,4,11/12/2020 8:34
5face57a64f3b8af34547af7,80436,6,1,1,1,11/12/2020 8:34,11/12/2020 8:34,5,11/12/2020 13:05
5face5c564f3b8af34547af8,81098,2,1,1,1,11/12/2020 8:35,11/12/2020 8:35,6,11/12/2020 13:05
5face63564f3b8af34547af9,80492,4,1,1,1,11/12/2020 8:37,11/12/2020 8:37,7,11/12/2020 13:05
5face66364f3b8af34547afa,81009,3,1,1,1,11/12/2020 8:38,11/12/2020 8:38,8,11/12/2020 13:05
5face67c64f3b8af34547afb,80939,151,1,1,1,11/12/2020 8:38,11/12/2020 8:38,9,11/12/2020 13:05
5face6c264f3b8af34547afc,81012,22,1,1,1,11/12/2020 8:39,11/12/2020 8:39,10,11/12/2020 13:05
5face6cc64f3b8af34547afd,80716,10,1,1,1,11/12/2020 8:39,11/12/2020 8:39,11,11/12/2020 13:05
5face71a64f3b8af34547afe,81288,321,1,1,1,11/12/2020 8:41,11/12/2020 8:41,12,11/12/2020 13:05
5face74a64f3b8af34547aff,82151,322,1,1,1,11/12/2020 8:42,11/12/2020 8:42,13,11/12/2020 13:05
5face75164f3b8af34547b00,81089,38,1,1,1,11/12/2020 8:42,11/12/2020 8:42,14,11/12/2020 13:05
5face7ca64f3b8af34547b0c,80474,18,1,1,1,11/12/2020 8:44,11/12/2020 8:44,15,11/12/2020 12:58
5face81f64f3b8af34547b0d,81682,20,1,1,1,11/12/2020 8:45,11/12/2020 8:45,16,11/12/2020 13:05
5face82264f3b8af34547b17,80718,19,1,1,1,11/12/2020 8:45,11/12/2020 8:45,17,11/12/2020 13:05
5face85864f3b8af34547b18,81929,1,1,1,1,11/12/2020 8:46,11/12/2020 8:46,18,11/12/2020 13:05
